FULLGAME_STRATEGY_V1
ITER	12000
INFOSET	FOLD	CHECK	CALL	BET	RAISE	ALL_IN	VISITS
flop|seat=0|bucket=101|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.1666666667	0.0000000000	0.1666666667	0.0000000000	0.6666666667	2
flop|seat=0|bucket=101|tc=0|pot=1|n=2|h=rc	0.0000000000	0.4033405095	0.0000000000	0.3876569329	0.0000000000	0.2090025576	10
flop|seat=0|bucket=101|tc=0|pot=1|n=2|h=rck	0.0000000000	0.4666666667	0.0000000000	0.2666666667	0.0000000000	0.2666666667	5
flop|seat=0|bucket=101|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.1792221892	0.0000000000	0.1857856166	0.0000000000	0.6349921942	10
flop|seat=0|bucket=101|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.1011900328	0.0000000000	0.0833333333	0.0000000000	0.8154766339	4
flop|seat=0|bucket=101|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.4615560663	0.0000000000	0.4551106003	0.0000000000	0.0833333333	4
flop|seat=0|bucket=101|tc=1|pot=1|n=2|h=ckb	0.0500000000	0.0000000000	0.0500000000	0.0000000000	0.0500000000	0.8500000000	5
flop|seat=0|bucket=101|tc=1|pot=1|n=2|h=ckbr	0.2616891606	0.0000000000	0.2627440775	0.0000000000	0.2672334286	0.2083333333	6
flop|seat=0|bucket=101|tc=1|pot=1|n=2|h=ckkb	0.2866753114	0.0000000000	0.2936793556	0.0000000000	0.2946453330	0.1250000000	2
flop|seat=0|bucket=101|tc=1|pot=1|n=2|h=crcb	0.2636846096	0.0000000000	0.3132477336	0.0000000000	0.2760135317	0.1470541251	7
flop|seat=0|bucket=101|tc=1|pot=1|n=2|h=rcb	0.1500000000	0.0000000000	0.1500000000	0.0000000000	0.5500000000	0.1500000000	5
flop|seat=0|bucket=101|tc=1|pot=1|n=2|h=rckb	0.0833333333	0.0000000000	0.1694159522	0.0000000000	0.0833333333	0.6639173812	3
flop|seat=0|bucket=101|tc=1|pot=2|n=2|h=rcbr	0.2819992010	0.0000000000	0.3555382635	0.0000000000	0.3124625355	0.0500000000	5
flop|seat=0|bucket=101|tc=1|pot=2|n=2|h=rrcb	0.2500000000	0.0000000000	0.2500000000	0.0000000000	0.2500000000	0.2500000000	3
flop|seat=0|bucket=102|tc=0|pot=0|n=2|h=ck	0.0000000000	0.1111111111	0.0000000000	0.1111111111	0.0000000000	0.7777777778	3
flop|seat=0|bucket=102|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.3333333333	0.0000000000	0.3333333333	0.0000000000	0.3333333333	7
